[2026-05-19 22:31:06] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:11] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:17] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:22] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:27] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:32] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:38] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:43] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:48] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:54] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:59] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:32:04] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:32:09] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:32:14] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:32:20] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:32:25] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:32:30] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
